Changed database context to 'NokiaFMA'.
FW_REGRESSION,OPTIC_VENDOR_OPTICORE,63620,.002704,136380,.002874,.941
FW_REGRESSION,HIGH_TEMP,9147,.002077,190853,.002856,.727
FW_REGRESSION,DRIFT_STATION,66499,.001549,133501,.003453,.449
FW_REGRESSION,HIGH_RIPPLE,7816,.001279,192184,.002883,.444
OPTICS_DEGRADATION,OPTIC_VENDOR_OPTICORE,63620,.008095,136380,.001093,7.409
OPTICS_DEGRADATION,HIGH_RIPPLE,7816,.002943,192184,.003335,.882
OPTICS_DEGRADATION,HIGH_TEMP,9147,.002514,190853,.003359,.749
OPTICS_DEGRADATION,DRIFT_STATION,66499,.001925,133501,.004015,.479
STATION_FALSE_FAIL,DRIFT_STATION,66499,.021324,133501,.001431,14.904
STATION_FALSE_FAIL,OPTIC_VENDOR_OPTICORE,63620,.007105,136380,.008484,.837
STATION_FALSE_FAIL,HIGH_TEMP,9147,.006232,190853,.008132,.766
STATION_FALSE_FAIL,HIGH_RIPPLE,7816,.006013,192184,.008128,.740
THERMAL_DRIFT,HIGH_TEMP,9147,.029627,190853,.001011,29.298
THERMAL_DRIFT,OPTIC_VENDOR_OPTICORE,63620,.001949,136380,.002493,.782
THERMAL_DRIFT,HIGH_RIPPLE,7816,.001151,192184,.002368,.486
THERMAL_DRIFT,DRIFT_STATION,66499,.000977,133501,.002989,.327
VOLTAGE_RIPPLE,HIGH_RIPPLE,7816,.024309,192184,.000957,25.390
VOLTAGE_RIPPLE,OPTIC_VENDOR_OPTICORE,63620,.001446,136380,.002068,.699
VOLTAGE_RIPPLE,HIGH_TEMP,9147,.001093,190853,.001907,.573
VOLTAGE_RIPPLE,DRIFT_STATION,66499,.000782,133501,.002412,.324

(20 rows affected)
